City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Phuket,TH,2022-05-14 16:19:58,8.0,98.25,88.09,89,20,3.44
1,Punta Arenas,CL,2022-05-14 16:22:45,-53.15,-70.9167,50.02,76,40,11.5
2,New Norfolk,AU,2022-05-14 16:24:33,-42.7826,147.0587,61.88,71,75,8.01
3,Barrow,US,2022-05-14 16:24:34,71.2906,-156.7887,21.22,93,100,8.05
4,Bambous Virieux,MU,2022-05-14 16:24:34,-20.3428,57.7575,75.45,73,75,6.91
5,Vaini,TO,2022-05-14 16:24:35,-21.2,-175.2,71.76,73,75,9.22
6,Sur,OM,2022-05-14 16:24:36,22.5667,59.5289,85.03,70,0,6.53
7,Torbay,CA,2022-05-14 16:24:37,47.6666,-52.7314,38.28,95,100,17.27
8,Mataura,NZ,2022-05-14 16:24:37,-46.1927,168.8643,43.48,92,100,1.21
9,Port Elizabeth,ZA,2022-05-14 16:24:38,-33.918,25.5701,62.31,81,20,4.0
10,Synya,RU,2022-05-14 16:24:39,65.3718,58.0387,53.01,71,100,8.9
11,Tarakan,ID,2022-05-14 16:24:39,3.3,117.6333,80.1,94,20,0.0
12,Albany,US,2022-05-14 16:22:36,42.6001,-73.9662,80.92,61,79,1.99
13,Hobart,AU,2022-05-14 16:24:40,-42.8794,147.3294,62.22,73,78,10.36
14,Clyde River,CA,2022-05-14 16:24:41,70.4692,-68.5914,25.03,80,75,12.66
15,Tevaitoa,PF,2022-05-14 16:24:42,-16.7833,-151.5,81.19,65,0,14.36
16,Avera,US,2022-05-14 16:24:43,33.194,-82.5271,75.38,54,7,1.5
17,Uruguaiana,BR,2022-05-14 16:24:43,-29.7547,-57.0883,67.93,64,75,13.8
18,Vostok,RU,2022-05-14 16:24:44,46.4856,135.8833,38.91,69,62,7.2
19,Ati,TD,2022-05-14 16:24:45,13.2154,18.3353,105.1,15,55,10.69
20,Yellowknife,CA,2022-05-14 16:21:03,62.456,-114.3525,54.12,40,75,13.8
21,Waspan,NI,2022-05-14 16:24:46,14.7419,-83.9717,84.27,65,74,7.31
22,Busselton,AU,2022-05-14 16:24:47,-33.65,115.3333,58.84,67,83,12.08
23,Puerto Quijarro,BO,2022-05-14 16:24:47,-17.7833,-57.7667,96.17,29,58,6.06
24,Hilo,US,2022-05-14 16:21:30,19.7297,-155.09,70.11,95,20,5.75
